Artigo,Título do Artigo (conforme Lista de origem),a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
1,"Coleti T.A., Zacarias R.O., Divino S.B.S., Saraiva J.D.A.G., Salgado A.D.L., Gonçalves D.A., Morandini M., Santos R.P.D. GranDIHC-BR 2025-20",X,X,X,,,,X,X,,,,,,,,,,Incluído
2,"Pereira R., Darin T., Silveira M.S. GranDIHC-BR: Grand Research Challenges in Human-Computer Interaction in Brazil for 2025-2035 [GranDIHC-B",X,X,,,,,X,X,,,,,,,,,,Incluído
3,"Duan, Qingyu and Liang, Mengli and Wang, Xiaoguang. The Human‐Data Interaction Driven by Data Reuse. John Wiley \& Sons, Inc. Proceedings of",X,X,,X,,X,X,X,,,,,,,X,,,Excluído
4,"Margariti E., Claisse C., Nabil S., Bridgens B., Durrant A.C., Kirk D.Human Building Interaction and Design for Climate Change (2024) DIS 20",,,,,,,X,X,,,,X,,,,,,Excluído
5,"De Kreij S., Ranasinghe C., Degbelo A. Data Physicalization and Tangible Manipulation for Engaging Children with Data: An Example with Air Q",X,X,,X,,,X,X,,,,,,,,,,Incluído
6,"ekete J.-D., Rong K., Omidvar-Tehrani B., Shraga R. Eighth Workshop on Human-In-the-Loop Data Analytics (HILDA) (2024) Proceedings of the AC",,,,,,,X,X,,,,,,X,,,,Excluído
7,"Sailaja N., Crabtree A., Lodge T., Chamberlain A., Coulton P., Pilling M., Forrester I. Making of an Adaptive Podcast that Engenders Trust t",X,X,,X,,,X,X,,,,,,,,,,Incluído
8,"Hayes S., Jopling M., Connor S., Johnson M., Riordan S. ‘Making you Aware of your Own Breathing’: Human Data Interaction, Disadvantage and S",X,X,,X,,X,X,X,,,,,,,,X,,Excluído
9,"Friedman A., Cafaro F. Designing Gestures for Data Exploration with Public Displays via Identification Studies (2024) Information (Switzerla",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
10,"Karahanoğlu A., Coskun A., Postma D., Scheltinga B.L., Gouveia R., Reidsma D., Reenalda J.Is it just a score? Understanding Training Load Ma",X,X,X,X,,X,X,X,,,,,,,,X,,Excluído
11,"Yuan J., Bhattacharjee K., Islam A.Z., Dasgupta A. TRIVEA: Transparent Ranking Interpretation using Visual Explanation of black-box Algorith",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
12,"Banu R., Subramanian K.P., Shrivastava P. Impact of modality on cognitive load and data-driven decisions as perceived by novice users (2024)",X,X,X,X,,X,X,X,,,,,,X,X,,,Excluído
13,"Dowthwaite A., Cook D., Cox A.L. Privacy preferences in automotive data collection (2024) Transportation Research Interdisciplinary Perspect",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
14,"Li J., Shayboun M., Calis G., Calvetti D., Demian P., Kassem M., Msawil M., Soman R. Toward a working theory for Human-Data Interaction (HDI",X,X,X,X,,X,X,X,,,,X,,,,,,Excluído
15,"Losciale P., Scarcelli A., Ricci M., Di Roma A. Human-Data Interaction Design for the Taxonomy Visualization of Made in Italy Upholstered Sy",X,X,X,X,,X,X,X,,,,X,,,,,,Excluído
16,"Victorelli E.Z., Dos Reis J.C. Adopting Human-data Interaction Guidelines and Participatory Practices for Supporting Inexperienced Designers",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
