Artigo,Título do Artigo (conforme Lista de origem),a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
161,"Romero N., Sharma M. Designing human data interactions in Healthcare (2018) EAI Endorsed Transactions on Pervasive Health and Technology.",X,,,,,,X,X,,,,,,,,X,,Excluído
162,"Roberts J., Lyons L. The value of learning talk: applying a novel dialogue scoring method to inform interaction design in an open-ended, emb",,,X,X,,,X,X,,,,,,,,,,Incluído
163,"Widjojo E.A., Chinthammit W., Engelke U. Virtual reality-based human-data interaction. (2017) 2017 International Symposium on Big Data Visua",,,,,,,X,X,,,,X,,,,,,Excluído
164,"Widjojo E.A., Chinthammit W., Engelke U. Virtual reality-based human-data interaction. (2017) 2017 International Symposium on Big Data Visua",,,,,,,X,X,,,,,,,,,X,Excluído
165,"Kaipainen M., Pitkänen O., Ab P. Human-controlled iterative subclustering analysis. (2017) Proceedings - 2017 IEEE International Conference",,,,,,,X,X,,,,X,,X,,,,Excluído
166,"Nunes N., Ribeiro M., Prandi C., Nisi V. Beanstalk - A community based passive Wi-Fi tracking system for analysing tourism dynamics. (2017)",,,,X,,,X,X,,X,,X,,,,,,Excluído
167,"Locoro A., Cabitza F., Actis-Grosso R., Batini C. Static and interactive infographics in daily tasks: A value-in-use and quality of interact",,,X,,,,X,X,,,,X,,,,,,Excluído
168,"Ferrario M.A., Simm W., Gradinar A., Forshaw S., Smith M.T., Lee T., Smith I., Whittle J. Computing and mental health: Intentionality and re",,,,X,,,X,X,,X,,,,,,X,,Excluído
169,"Koesten L.M., Kacprzak E., Tennison J.F.A., Simperl E. The trials and tribulations of working with structured data - A study on information",,X,,X,,,X,X,,,,,,,,,,Incluído
170,"Cabitza F., Locoro A. Human-data interaction in healthcare: Acknowledging use-related chasms to design for a better health information. (201",X,X,,,,,X,X,,,,,,,,X,X,Excluído
171,"Hutton L., Henderson T. Beyond the EULA: Improving Consent for Data Mining (2017) Studies in Big Data, 32, pp. 147 - 167.",X,X,,X,X,,X,X,,,,,,,,,,Incluído
172,"Allot A., Chennen K., Nevers Y., Poidevin L., Kress A., Ripp R., Thompson J.D., Poch O., Lecompte O. Mygenefriends: A social network linking",X,X,X,X,,,X,X,,,,X,,,,X,,Excluído
173,"Jones R., Sailaja N., Kerlin L. Probing the design space of usable privacy policies: A qualitative exploration of a reimagined privacy polic",X,X,,X,,,X,X,,,,,,,,,,Incluído
174,"Meireles P.E.L.R., Hornung H. Human values in human-data interaction (2016) ACM International Conference Proceeding Series, Part F128046, ar",X,,,,X,,X,X,,,,,,,,,,Incluído
175,"Chowdhury S.N., Dhawan S. HDI based data ownership model for smart cities (2016) 2016 International Conference on Recent Trends in Informati",X,X,,X,X,,X,X,,,,,,,,,,Incluído
