Artigo,Título do Artigo (conforme Lista de origem),a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
41,"Calvetti D., Kifokeris D., Mêda P., Hjelseth E. Human-data interaction in incremental digital twin construction (2023) Proceedings of the 20",X,X,,,,,X,X,,X,,X,,,,,,Excluído
42,"Li J., Kifokeris D.G., Barati M., Calis G., Gledson B.J., Hall D.M., Hunhevicz J.J., Kassem M., Msawil M., Srećković M. HUMAN-DATA INTERACTI",X,X,,,,,X,X,,X,,X,,,,,,Excluído
43,Meechan D. The Datafication of Education in England: A Children’s Rights-Based Approach to Human Data Interaction Theory (2023) Postdigital,X,X,,,,,X,X,,,,,,,,,,Incluído
44,"Ogwude U. Digital Exclusion and the Data Creation Gap: An Exploration of the Connections Between Social Limits to Data Access, Data Creation",X,X,X,,,X,X,X,,,,,,X,,,,Excluído
45,"Boychev N., Schmid K.L., Jonuscheit S. Human Data Interactions in Digital Modes of Eye Care (2023) Postdigital Science and Education (Nether",X,X,X,X,X,,X,X,,,,,,,,X,,Excluído
46,"Hayes S., Jopling M., Connor S., Johnson M. Introduction: Human Data Interaction, Disadvantage and Skills in the Community: Enabling Cross-S",X,X,X,,,X,X,X,,,,,,X,,,,Excluído
47,"Capeleti B.S., Santos C.Q., de Souza J.I., Freire A.P. Usability Evaluation of a Brazilian Dam Safety Data Exploration Platform: A Consolida",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
48,"Roberts J., Lowy R., Li H., Bellona J., Smith L., Bower A. Breaking Down the Visual Barrier: Designing Data Interactions for the Visually Im",X,X,,,,,X,X,,,,X,,,,X,,Excluído
49,"Manohar A., Sengul C., Chen J. Inclusive Privacy Control at Home for Smart Health (2023) Postdigital Science and Education (Netherlands), Pa",X,X,X,X,X,,X,X,,,,,,,X,,,Excluído
50,Meechan D. The Datafication of Education in England: A Children’s Rights-Based Approach to Human Data Interaction Theory (2023) Postdigital,X,X,X,,,,X,X,,,,,,,,,X,Excluído
51,"Bentley J., Clark H. Working Towards a 100\% Digitally Included Wolverhampton (2023) Postdigital Science and Education (Netherlands), Part F",X,,,,,X,X,X,X,X,,X,,,,,,Excluído
52,"Grace D., Haddock B. Innovative Assessment Using Smart Glasses In Further Education: HDI Considerations (2023) Postdigital Science and Educa",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
53,"Jandric´ P., Hayes S. Social Participation in a Postdigital–Biodigital Age (2023) Palgrave Studies in Educational Media.",X,X,,,,X,X,X,,,,,,,,,,Incluído
54,"Refat N., Patwary M., Rahman M.A. Digital Inclusion Towards e-Governance: Challenges and Issues (2023) Postdigital Science and Education (Ne",X,X,,,,X,X,X,,,,,,,,,,Incluído
55,"Royle K., Hawkins G. Primary School Reading Diaries, Digital Enclosure and the Common Good: Exploring an Alternative Postdigital Commons Bas",X,X,,,,X,X,X,,,,,,,,,,Incluído
56,"Payne A.L., Compton M., Kennedy S. Supporting And Humanising Behavioural Change without the Behaviourism: Digital Footprints, Learning Analy",X,X,,,,,X,X,,,,,,,,,,Incluído
57,"Shi J., Pan Y., Xiang Y., Liu X., Wang Y., Ji C. Visual Analysis of Ship Trajectories Based on Kernel Density Estimation (2023) 2023 9th Int",X,,,,,,X,X,X,X,X,,,,,,,Excluído
58,"Victorelli E.Z., dos Reis J.C. Evaluating User Experience in Information Visualization Systems: UXIV an Evaluation Questionnaire (2023) Lect",X,,,,,X,X,X,,X,,,,,,,,Incluído
59,"Bestek M., Grönvall E. Health Data Semantics: Exploring Requirements for Sustainable Health Systems (2023) Lecture Notes of the Institute fo",,,,,,,X,X,,,,,,,,X,,Excluído
