Artigo,Título do Artigo (conforme Lista de origem),a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
121,"Coleti T.A., Corrêa P.L.P., Filgueiras L.V.L., Morandini M. TR-Model. A Metadata Profile Application for Personal Data Transparency. (2020)",X,X,X,,X,,X,X,,,,,,,,,,Incluído
122,"Lockwood M. An Accessible Interface Layer for Self-Sovereign Identity. (2020) Frontiers in Blockchain, 3, art. no. 609101.",X,X,,X,,,X,X,,,,,,,,,,Incluído
123,"Thinyane M. Operationalizing Data Justice in Health Informatics. (2019) 11th Academic Conference ITU Kaleidoscope: ICT for Health: Networks,",X,X,,X,,,X,X,,,,,,,,X,,Excluído
124,"Fu B., Steichen B., Zhang W. Towards Adaptive Ontology Visualization - Predicting User Success from Behavioral Data. (2019) International Jo",,,,,,,X,X,,,,,,X,X,,,Excluído
125,"Sathiyanarayanan M., Sokkanarayanan S. Understanding the Emergence and Importance of Blockchain-based Cyber-physical Social Machines: A Prop",X,,,,,,X,X,,,,,,,,,,Excluído
126,"Lee-Smith M., Tso F.P., Ross T., Morley J., Maguire M., Cavazzi S. The data hungry home defining, populating, feeding, and beyond. (2019) AC",X,X,,X,,,X,X,,X,,X,,,,,,Excluído
127,"De Almeida M.C.G., De Castro Salgado L.C. Investigating Google dashboard's explainability to support individual privacy decision making. (20",X,X,X,X,,,X,X,,,,,,,,,,Incluído
128,"Kalakoski V., Henelius A., Oikarinen E., Ukkonen A., Puolamäki K. Cognitive ergonomics for data analysis. Experimental study of cognitive li",,,,X,,,X,X,,X,,X,,,,,,Excluído
129,"Santos C.Q., Silveira M.S. Qualitative Studies on Human-data Interaction and Data Analysis Collaboration in Latin America. (2019) ACM Intern",,X,,X,,,X,X,,,,,,,,,,Excluído
130,"Kalakoski V., Henelius A., Oikarinen E., Ukkonen A., Puolamäki K. Cognitive ergonomics for data analysis Experimental study of cognitive lim",X,X,X,X,X,,X,X,,,,,,,,,X,Excluído
131,"Wolff A., Wermelinger M., Petre M. Exploring design principles for data literacy activities to support children's inquiries from complex dat",,,,,,,X,X,,X,,X,,,,,,Excluído
132,Windeyer R.C. Faces between numbers: re-imagining theatre and performance as instruments of critical data studies within a liberal arts educ,,,,,,,X,X,,,,,,X,X,,,Excluído
133,Smith B.C. Big Data and Us: Human-Data Interactions (2019) European Review.,,,,,,,X,X,,X,,X,,,,,,Excluído
134,"Lee-Smith M., Ross T., Maguire M., Tso F.P., Morley J., Cavazzi S. What can we expect from navigating? Exploring navigation, wearables and d",,,,,,,X,X,,X,,X,,,,,,Excluído
135,"Cafaro F., Trajkova M., Alhakamy A. Designing embodied interactions for informal learning: Two open research challenges. (2019) Proceedings",,,,,,,X,X,,X,,X,,X,,,,Excluído
136,"Bowyer A., Wheater S., Montague K., Wilson R., Snape M. Human-data interaction in the context of care: Co-designing family civic data interf",X,X,,X,X,,X,X,,,,,,,,X,,Excluído
137,"Koesten L., Tennison J., Kacprzak E., Simperl E. Collaborative practices with structured data: Do tools support what users need? (2019) Conf",,,,,,,X,X,,X,,X,,,,,,Excluído
138,"Fu B., Steichen B. Using Behavior Data to Predict User Success in Ontology Class Mapping - An Application of Machine Learning in Interaction",,,,X,,,X,X,,X,,X,,,,,,Excluído
